time,headline,sentiment,sentimentValue
2012-01-05T00:00:00Z,Internet Access Is Not a Human Right,Positive,3
2012-01-05T10:34:13Z,Internet Access Is Not a Human Right,Positive,3
2012-01-05T10:34:13Z,Internet Access Is Not a Human Right,Positive,3
2012-01-06T00:00:00Z,Students of Online Schools Are Lagging,Negative,1
2012-01-09T15:50:30Z,Be Nice on the Internet Week,Positive,3
2012-01-09T15:50:30Z,Be Nice on the Internet Week,Positive,3
2012-01-11T00:00:00Z,A Right to the Internet?,Neutral,2
2012-01-15T00:00:00Z,"California Leads Nation in Unaccredited Schools, and Enforcement Is Lax",Neutral,2
2012-01-16T07:00:56Z,This Week in Small Business: Destroying the Internet,Positive,3
2012-01-16T07:00:56Z,This Week in Small Business: Destroying the Internet,Negative,1
2012-01-18T00:00:00Z,"In Tech, Starting Up by Failing",Negative,1
2012-01-18T18:05:04Z,"For Online Protests, Throwing Spaghetti Against the Internet",Negative,1
2012-01-18T18:05:04Z,"For Online Protests, Throwing Spaghetti Against the Internet",Negative,1
2012-01-19T00:00:00Z,Online Fracas for a Critic of the Right,Negative,1
2012-01-19T14:19:53Z,Mike O'Brien Is Famous! (On the Internet),Neutral,2
2012-01-19T14:19:53Z,Mike O'Brien Is Famous! (On the Internet),Neutral,2
2012-01-19T21:25:54Z,Candidates Weigh In on Internet Piracy Bills at Debate,Neutral,2
2012-01-19T21:25:54Z,Candidates Weigh In on Internet Piracy Bills at Debate,Neutral,2
2012-01-23T00:00:00Z,Internet Antipiracy Bills,Neutral,2
2012-01-23T07:39:22Z,"Increasing Internet Can Raise G.D.P., Study Says",Negative,1
2012-01-23T07:39:22Z,"Increasing Internet Can Raise G.D.P., Study Says",Negative,1
2012-01-25T11:59:14Z,New Books for the Old Internet,Neutral,2
2012-01-25T11:59:14Z,New Books for the Old Internet,Negative,1
2012-01-26T00:00:00Z,States’ Drive to Collect Taxes on Internet Sales Is a Blow to Marketers,Negative,1
2012-01-26T08:18:36Z,States' Drive to Collect Taxes on Internet Sales Is a Blow to Marketers,Positive,3
2012-01-26T08:18:36Z,States' Drive to Collect Taxes on Internet Sales Is a Blow to Marketers,Positive,3
2012-01-27T00:00:00Z,Big Victory on Internet Buoys Lobby,Negative,1
2012-01-27T07:04:33Z,Big Victory on Internet Buoys Lobby,Negative,1
2012-01-27T07:04:33Z,Big Victory on Internet Buoys Lobby,Negative,1
2012-01-28T00:00:00Z,Activists Crack China’s Wall of Denial About Air Pollution,Neutral,2
2012-01-30T09:10:23Z,Technology Companies Confront a Scourge of the Internet,Neutral,2
2012-01-30T09:10:23Z,Technology Companies Confront a Scourge of the Internet,Neutral,2
2012-02-06T05:52:00Z,A New Question of Internet Freedom,Negative,1
2012-02-06T05:52:00Z,A New Question of Internet Freedom,Negative,1
2012-02-06T13:20:00Z,A New Question of Internet Freedom,Negative,1
2012-02-07T07:17:38Z,Daily Report: An Internet Art Fair,Neutral,2
2012-02-07T07:17:38Z,Daily Report: An Internet Art Fair,Neutral,2
2012-02-08T16:02:15Z,Today's Scuttlebot: A Boldface Internet Name and the First GPS,Neutral,2
2012-02-08T16:02:15Z,Today's Scuttlebot: A Boldface Internet Name and the First GPS,Positive,3
2012-02-14T00:00:00Z,American Recounts Beating by Chinese Agents Suspicious of Social Media,Positive,3
2012-02-15T09:27:26Z,"Comcast's Net Income Increases, Lifted by Internet Subscriptions",Positive,3
2012-02-16T00:00:00Z,Internet Piracy,Positive,3
2012-02-21T00:00:00Z,Trademarks Take On New Importance in Internet Era,Negative,1
2012-02-24T18:07:58Z,"Today's Scuttlebot: Economics for 2012, and China on the Internet",Negative,1
2012-03-01T06:40:54Z,Speed Bumps and Speed Boosts on the Internet ,Positive,3
2012-03-01T19:25:07Z,Stations File Suit Against Diller's Internet Distribution Company,Neutral,2
2012-03-03T00:00:00Z,Pakistan Builds Web Wall Out in the Open,Negative,1
2012-03-04T00:00:00Z,Two Women Joined by Justin Timberlake,Negative,1
2012-03-04T00:00:00Z,"In a Flood Tide of Digital Data, an Ark Full of Books",Negative,1
2012-03-05T00:00:00Z,Actress’s Privacy Lawsuit Challenges a Web Site,Negative,1
2012-03-11T23:05:58Z,New Internet TV Network to Feature Larry King,Neutral,2
2012-03-12T00:00:00Z,New Internet TV Network To Feature Larry King,Negative,1
2012-03-12T07:51:50Z,Media Decoder: New Internet TV Network to Feature Larry King,Negative,1
2012-03-12T22:01:29Z,Intel Talking to Networks About Internet TV Service,Positive,3
2012-03-13T00:00:00Z,Use of Homeless as Internet Hot Spots Backfires on Marketer,Negative,1
2012-03-14T01:48:19Z,"In Indian Homes, Phones and Electricity on Rise but Sanitation and Internet Lagging",Positive,3
2012-03-14T04:51:54Z,Homeless People as Internet Hot Spots?,Negative,1
2012-03-15T00:00:00Z,The Fight Club Generation,Negative,1
2012-03-20T19:15:00Z,City Seeks to Become a New Internet Address ,Negative,1
2012-03-22T16:52:40Z,Beware an Internet Lothario,Neutral,2
2012-03-26T00:00:00Z,Microsoft Raids Tackle Internet Crime,Neutral,2
2012-03-28T00:00:00Z,A Surge in Learning the Language of the Internet,Neutral,2
2012-03-31T00:00:00Z,"Warned of an Attack on the Internet, and Getting Ready",Neutral,2
2012-03-31T21:40:26Z,"Warned of an Attack on the Internet, and Getting Ready",Neutral,2
2012-04-01T00:00:00Z,"After Threats, No Signs of Attack by Hackers",Neutral,2
2012-04-05T00:00:00Z,A Rose-Colored View May Come Standard,Neutral,2
2012-04-11T19:28:30Z,Today's Scuttlebot: Female Founders and Internet Freedom,Negative,1
2012-04-13T00:00:00Z,"When Fists and Kicks Fly on the Subway, It’s Snackman to the Rescue",Negative,1
2012-04-17T07:19:09Z,Q&A: Revealing Internet Explorer 9's Menus ,Negative,1
2012-04-24T00:00:00Z,"Facing Cyberattack, Iranian Officials Disconnect Some Oil Terminals From Internet",Neutral,2
2012-04-24T20:09:54Z,Apple Chief's Offhand Comment Spawns Internet Quip,Neutral,2
2012-05-03T00:00:00Z,How to Muddy Your Tracks on the Internet,Negative,1
2012-05-04T09:31:05Z,Morning Buzz: Bringing Internet to the Subway,Positive,3
2012-05-04T17:59:20Z,ROFLCon: The Internet Goes Offline to Talk Web Culture ,Negative,1
2012-05-08T15:37:19Z,"Digital Diary: A Weekend Offline, Surrounded by the Internet",Negative,1
2012-05-09T00:00:00Z,Keeping the Internet Neutral,Neutral,2
2012-05-09T00:00:00Z,A More Expensive Internet,Neutral,2
2012-05-09T13:35:04Z,Keeping the Internet Neutral,Negative,1
